MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
1/21/2020 11:54:46,0,4.19,1,1,Left,1,0,1,2
1/21/2020 11:54:53,0,4.20,1,1,Left,2,0,2,2
