MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
1/24/2020 13:28:00,0,4.19,1,1,Left,1,3,1,2
1/24/2020 13:28:29,0,4.19,1,1,Left,2,3,2,5
