MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage
3/9/2018 16:46,3,1,2,4.22
3/9/2018 16:55,3,2,2,4.22
3/9/2018 17:06,3,3,1,4.2
3/9/2018 17:07,3,4,2,4.2
3/9/2018 17:20,3,5,1,4.21
3/9/2018 17:31,3,6,2,4.2
3/9/2018 17:31,3,7,1,4.21
3/9/2018 17:31,3,8,2,4.21
3/9/2018 17:32,3,9,3,4.2
3/9/2018 18:15,3,10,3,4.2
3/9/2018 18:16,3,11,4,4.2
3/9/2018 18:16,3,12,3,4.2
3/9/2018 18:17,3,13,1,4.2
3/9/2018 18:27,3,14,4,4.2
3/9/2018 18:54,3,15,5,4.2
3/9/2018 18:54,3,16,1,4.19
3/9/2018 18:55,3,17,2,4.2
3/9/2018 18:58,3,18,2,4.21
3/9/2018 19:05,3,19,2,4.2
3/9/2018 19:05,3,20,2,4.2
3/9/2018 19:06,3,21,1,4.2
3/9/2018 19:19,3,22,3,4.2
3/9/2018 19:20,3,23,5,4.2
3/9/2018 19:20,3,24,2,4.2
3/9/2018 19:29,3,25,1,4.2
3/9/2018 19:29,3,26,3,4.2
3/9/2018 19:41,3,27,2,4.2
3/9/2018 19:41,3,28,2,4.2
3/9/2018 19:52,3,29,3,4.2
3/9/2018 19:53,3,30,2,4.19
3/9/2018 20:04,3,31,4,4.2
3/9/2018 20:17,3,32,3,4.2
3/9/2018 20:17,3,33,1,4.19
3/9/2018 20:25,3,34,3,4.2
3/9/2018 20:25,3,35,1,4.19
3/9/2018 20:25,3,36,1,4.19
3/9/2018 20:35,3,37,10,4.2
3/9/2018 20:39,3,38,40,4.2
3/9/2018 20:47,3,39,3,4.19
3/9/2018 20:49,3,40,2,4.19
3/9/2018 20:55,3,41,1,4.19
3/9/2018 20:55,3,42,1,4.19
3/9/2018 21:00,3,43,3,4.19
3/9/2018 21:00,3,44,3,4.2
3/9/2018 21:10,3,45,4,4.2
3/9/2018 21:12,3,46,6,4.19
3/9/2018 21:13,3,47,2,4.19
3/9/2018 21:14,3,48,3,4.19
3/9/2018 21:32,3,49,6,4.19
3/9/2018 21:32,3,50,3,4.19
3/9/2018 21:33,3,51,4,4.19
3/9/2018 21:41,3,52,2,4.19
3/9/2018 22:00,3,53,6,4.19
3/9/2018 22:01,3,54,5,4.19
3/9/2018 22:01,3,55,3,4.18
3/9/2018 22:02,3,56,1,4.19
3/9/2018 22:02,3,57,1,4.19
3/9/2018 22:59,3,58,1,4.19
3/9/2018 23:00,3,59,3,4.18
3/9/2018 23:00,3,60,1,4.18
3/9/2018 23:01,3,61,3,4.18
3/9/2018 23:01,3,62,3,4.18
3/9/2018 23:02,3,63,1,4.18
3/9/2018 23:02,3,64,1,4.18
3/9/2018 23:36,3,65,1,4.19
3/9/2018 23:37,3,66,3,4.18
3/9/2018 23:37,3,67,3,4.18
3/9/2018 23:38,3,68,1,4.18
3/9/2018 23:50,3,69,1,4.18
3/9/2018 23:51,3,70,2,4.18
3/9/2018 23:51,3,71,1,4.18
3/10/2018 0:13,3,72,2,4.18
3/10/2018 0:14,3,73,3,4.18
3/10/2018 0:15,3,74,1,4.18
3/10/2018 0:41,3,75,4,4.18
3/10/2018 0:41,3,76,3,4.18
3/10/2018 0:42,3,77,11,4.18
3/10/2018 0:43,3,78,1,4.18
3/10/2018 0:50,3,79,9,4.18
3/10/2018 0:51,3,80,4,4.17
3/10/2018 0:51,3,81,1,4.18
3/10/2018 1:00,3,82,1,4.18
3/10/2018 1:00,3,83,2,4.18
3/10/2018 1:01,3,84,1,4.18
3/10/2018 1:44,3,85,1,4.18
3/10/2018 1:45,3,86,7,4.18
3/10/2018 1:46,3,87,3,4.18
3/10/2018 1:47,3,88,4,4.18
3/10/2018 1:47,3,89,3,4.18
3/10/2018 2:48,3,90,3,4.17
3/10/2018 2:48,3,91,3,4.17
3/10/2018 2:49,3,92,2,4.18
3/10/2018 2:50,3,93,3,4.18
3/10/2018 3:09,3,94,2,4.18
3/10/2018 3:09,3,95,2,4.17
3/10/2018 3:10,3,96,4,4.17
3/10/2018 3:11,3,97,1,4.17
3/10/2018 3:11,3,98,3,4.17
3/10/2018 3:12,3,99,3,4.17
3/10/2018 4:32,3,100,2,4.16
3/10/2018 4:32,3,101,1,4.17
3/10/2018 4:33,3,102,5,4.18
3/10/2018 4:33,3,103,1,4.17
3/10/2018 4:33,3,104,1,4.17
3/10/2018 4:34,3,105,5,4.17
3/10/2018 4:34,3,106,3,4.16
3/10/2018 4:35,3,107,6,4.17
3/10/2018 4:35,3,108,1,4.17
3/10/2018 5:48,3,109,6,4.16
3/10/2018 5:48,3,110,3,4.16
3/10/2018 5:49,3,111,4,4.16
3/10/2018 5:49,3,112,4,4.17
3/10/2018 5:50,3,113,3,4.16
3/10/2018 5:50,3,114,1,4.17
3/10/2018 7:50,3,115,3,4.16
3/10/2018 7:51,3,116,4,4.16
3/10/2018 7:51,3,117,4,4.16
3/10/2018 7:52,3,118,3,4.16
3/10/2018 8:14,3,119,18,4.16
3/10/2018 8:14,3,120,2,4.16
3/10/2018 8:15,3,121,3,4.16
3/10/2018 8:15,3,122,2,4.16
3/10/2018 8:16,3,123,10,4.16
3/10/2018 10:45,3,124,1,4.15
3/10/2018 10:45,3,125,3,4.14
3/10/2018 10:46,3,126,1,4.15
3/10/2018 10:48,3,127,5,4.15
3/10/2018 10:49,3,128,1,4.15
3/10/2018 14:41,3,129,4,4.14
3/10/2018 14:42,3,130,3,4.14
3/10/2018 14:43,3,131,1,4.14
3/10/2018 14:44,3,132,9,4.14
3/10/2018 14:44,3,133,3,4.14
3/10/2018 14:45,3,134,1,4.14
3/10/2018 17:19,3,135,3,4.14
3/10/2018 17:20,3,136,3,4.13
3/10/2018 17:20,3,137,1,4.14
3/10/2018 18:21,3,138,3,4.13
3/10/2018 18:21,3,139,1,4.14
3/10/2018 18:21,3,140,3,4.13
3/10/2018 18:22,3,141,2,4.12
3/10/2018 18:23,3,142,4,4.14
3/10/2018 18:23,3,143,2,4.13
