MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage
3/9/2018 16:54:39,5,1,3,4.02
3/9/2018 17:19:01,5,2,4,4.02
3/9/2018 17:19:22,5,3,1,4.02
3/9/2018 17:19:43,5,4,1,4.02
3/9/2018 17:20:08,5,5,2,4.02
3/9/2018 17:33:28,5,6,1,4.02
3/9/2018 18:29:44,5,7,1,4.02
3/9/2018 18:31:08,5,8,1,4.02
3/9/2018 18:31:41,5,9,2,4.02
3/9/2018 19:14:19,5,10,2,4.02
3/9/2018 19:35:04,5,11,4,4.02
3/9/2018 19:35:40,5,12,5,4.02
3/9/2018 19:36:15,5,13,3,4.02
3/9/2018 19:36:45,5,14,2,4.02
3/9/2018 19:37:18,5,15,2,4.02
3/9/2018 19:37:49,5,16,1,4.02
3/9/2018 20:17:37,5,17,2,4.02
3/9/2018 20:18:02,5,18,2,4.02
3/9/2018 20:20:24,5,19,1,4.02
3/9/2018 20:32:07,5,20,1,4.02
3/9/2018 20:32:29,5,21,1,4.02
3/9/2018 20:33:39,5,22,2,4.02
3/9/2018 20:42:17,5,23,1,4.02
3/9/2018 20:44:08,5,24,1,4.02
3/9/2018 20:44:36,5,25,1,4.02
3/9/2018 20:45:01,5,26,2,4.02
3/9/2018 21:07:45,5,27,5,4.02
3/9/2018 21:08:12,5,28,3,4.01
3/9/2018 21:08:46,5,29,4,4.02
3/9/2018 21:09:08,5,30,1,4.02
3/9/2018 21:09:35,5,31,3,4.02
3/9/2018 21:10:08,5,32,3,4.02
3/9/2018 21:10:43,5,33,1,4.02
3/9/2018 21:11:30,5,34,1,4.02
3/9/2018 21:12:00,5,35,2,4.01
3/9/2018 21:12:28,5,36,1,4.02
3/9/2018 21:22:40,5,37,1,4.02
3/9/2018 21:24:19,5,38,1,4.01
3/9/2018 22:04:36,5,39,1,4.02
3/9/2018 22:05:04,5,40,3,4.02
3/9/2018 22:05:34,5,41,1,4.01
3/9/2018 22:05:54,5,42,1,4.01
3/9/2018 22:55:04,5,43,3,4.01
3/9/2018 22:55:31,5,44,1,4.01
3/9/2018 22:58:00,5,45,2,4.01
3/9/2018 22:59:24,5,46,1,4.01
3/9/2018 23:02:00,5,47,1,4.01
3/9/2018 23:02:29,5,48,2,4.02
3/9/2018 23:05:43,5,49,2,4.02
3/9/2018 23:12:43,5,50,3,4.02
3/9/2018 23:13:13,5,51,3,4.02
3/9/2018 23:13:38,5,52,2,4.01
3/9/2018 23:14:10,5,53,3,4.01
3/9/2018 23:14:41,5,54,3,4.02
3/9/2018 23:15:06,5,55,1,4.02
3/10/2018 0:15:25,5,56,4,4.01
3/10/2018 0:15:49,5,57,1,4.01
3/10/2018 0:16:28,5,58,2,4.02
3/10/2018 0:17:37,5,59,2,4.01
3/10/2018 0:18:01,5,60,2,4.01
3/10/2018 0:29:17,5,61,1,4.00
3/10/2018 1:04:24,5,62,1,4.01
3/10/2018 1:04:46,5,63,2,4.01
3/10/2018 1:05:17,5,64,2,4.00
3/10/2018 1:27:41,5,65,4,4.00
3/10/2018 1:28:19,5,66,3,4.01
3/10/2018 1:28:46,5,67,3,4.01
3/10/2018 1:29:18,5,68,3,4.01
3/10/2018 1:29:46,5,69,2,4.00
3/10/2018 1:30:15,5,70,3,4.00
3/10/2018 1:30:46,5,71,2,4.01
3/10/2018 1:31:17,5,72,1,4.01
3/10/2018 1:31:48,5,73,1,4.00
3/10/2018 1:32:13,5,74,1,4.00
3/10/2018 1:45:53,5,75,3,4.01
3/10/2018 1:46:17,5,76,1,4.00
3/10/2018 4:24:38,5,77,3,4.01
3/10/2018 4:25:27,5,78,9,4.00
3/10/2018 5:30:39,5,79,3,4.00
3/10/2018 5:31:09,5,80,3,4.00
3/10/2018 5:31:40,5,81,2,4.00
3/10/2018 5:32:07,5,82,3,4.00
3/10/2018 5:32:42,5,83,3,4.00
3/10/2018 5:33:10,5,84,1,4.00
3/10/2018 5:33:40,5,85,3,4.00
3/10/2018 5:34:16,5,86,3,4.00
3/10/2018 6:22:17,5,87,1,4.00
3/10/2018 6:22:44,5,88,1,4.00
3/10/2018 6:23:05,5,89,1,4.00
3/10/2018 6:23:50,5,90,3,4.00
3/10/2018 6:26:31,5,91,2,4.00
3/10/2018 6:27:12,5,92,3,4.00
3/10/2018 6:40:09,5,93,3,4.00
3/10/2018 6:40:39,5,94,3,4.00
3/10/2018 6:41:11,5,95,1,4.00
3/10/2018 8:09:24,5,96,1,4.00
3/10/2018 8:09:45,5,97,1,4.00
3/10/2018 8:10:13,5,98,2,4.00
3/10/2018 8:10:33,5,99,1,4.00
3/10/2018 8:11:08,5,100,1,3.99
3/10/2018 9:32:19,5,101,3,4.00
3/10/2018 9:32:58,5,102,4,4.00
3/10/2018 9:33:43,5,103,3,3.99
3/10/2018 9:34:21,5,104,3,4.00
3/10/2018 9:34:59,5,105,3,3.99
3/10/2018 9:35:43,5,106,1,4.00
3/10/2018 13:47:41,5,107,1,3.99
3/10/2018 16:28:10,5,108,3,3.98
3/10/2018 16:28:40,5,109,3,3.98
3/10/2018 16:29:09,5,110,2,3.98
3/10/2018 16:29:47,5,111,3,3.98
3/10/2018 16:30:28,5,112,6,3.98
3/10/2018 16:31:03,5,113,4,3.98
