MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage
3/9/2018 17:00:34,6,1,3,4.18
3/9/2018 17:20:53,6,2,2,4.18
3/9/2018 17:24:40,6,3,3,4.18
3/9/2018 17:25:32,6,4,10,4.18
3/9/2018 17:26:11,6,5,4,4.18
3/9/2018 17:26:43,6,6,2,4.18
3/9/2018 17:37:15,6,7,1,4.18
3/9/2018 17:42:09,6,8,3,4.18
3/9/2018 19:07:40,6,9,2,4.17
3/9/2018 19:08:15,6,10,3,4.17
3/9/2018 19:08:51,6,11,3,4.18
3/9/2018 19:39:56,6,12,3,4.18
3/9/2018 19:40:24,6,13,3,4.17
3/9/2018 19:40:55,6,14,2,4.17
3/9/2018 19:41:32,6,15,3,4.17
3/9/2018 19:42:05,6,16,2,4.18
3/9/2018 19:43:25,6,17,1,4.18
3/9/2018 19:43:52,6,18,3,4.18
3/9/2018 19:44:19,6,19,1,4.17
3/9/2018 19:44:49,6,20,3,4.17
3/9/2018 19:45:31,6,21,3,4.17
3/9/2018 19:49:26,6,22,4,4.18
3/9/2018 19:50:01,6,23,3,4.16
3/9/2018 19:55:43,6,24,2,4.18
3/9/2018 19:56:28,6,25,4,4.17
3/9/2018 20:00:54,6,26,2,4.18
3/9/2018 20:05:58,6,27,1,4.17
3/9/2018 20:06:29,6,28,1,4.17
3/9/2018 20:49:38,6,29,2,4.16
3/9/2018 20:50:20,6,30,3,4.17
3/9/2018 20:50:50,6,31,2,4.17
3/9/2018 21:11:19,6,32,4,4.17
3/9/2018 21:11:47,6,33,1,4.16
3/9/2018 21:12:33,6,34,1,4.17
3/9/2018 21:36:47,6,35,2,4.16
3/9/2018 21:37:25,6,36,1,4.16
3/9/2018 21:59:30,6,37,3,4.16
3/9/2018 22:00:03,6,38,2,4.16
3/9/2018 22:00:42,6,39,3,4.16
3/9/2018 22:01:04,6,40,1,4.16
3/9/2018 22:01:27,6,41,1,4.16
3/9/2018 22:01:51,6,42,2,4.16
3/9/2018 22:02:29,6,43,1,4.17
3/9/2018 22:11:36,6,44,1,4.16
3/9/2018 22:12:06,6,45,3,4.16
3/9/2018 22:12:35,6,46,1,4.16
3/9/2018 22:12:57,6,47,2,4.16
3/9/2018 22:13:20,6,48,2,4.16
3/9/2018 22:14:06,6,49,3,4.17
3/9/2018 22:22:31,6,50,1,4.16
3/9/2018 22:25:35,6,51,6,4.16
3/9/2018 22:26:15,6,52,4,4.16
3/9/2018 22:26:49,6,53,5,4.16
3/10/2018 0:08:02,6,54,3,4.16
3/10/2018 0:08:31,6,55,3,4.16
3/10/2018 0:09:01,6,56,1,4.16
3/10/2018 0:09:30,6,57,3,4.16
3/10/2018 0:10:04,6,58,3,4.16
3/10/2018 0:10:39,6,59,2,4.16
3/10/2018 0:11:26,6,60,3,4.16
3/10/2018 0:12:07,6,61,3,4.16
3/10/2018 0:12:43,6,62,1,4.16
3/10/2018 0:13:08,6,63,2,4.16
3/10/2018 0:13:42,6,64,4,4.16
3/10/2018 0:17:30,6,65,1,4.15
3/10/2018 0:58:07,6,66,3,4.16
3/10/2018 0:58:41,6,67,2,4.16
3/10/2018 0:59:42,6,68,3,4.16
3/10/2018 1:00:21,6,69,3,4.16
3/10/2018 1:00:49,6,70,1,4.15
